Epoch,F1 dev,Acc dev,Loss Train,Loss Dev,F1 test,Acc test
5,0.8925914906277894,0.9698795180722891,0.3061866206782205,0.33138767071068287,0.939,0.952
10,0.9551795785099436,0.9759036144578314,0.07275165995316846,0.1727340961806476,0.939,0.952
15,0.9647616227420789,0.9799196787148594,0.025242613415632928,0.13610809901729226,0.939,0.952
20,0.9689257176679491,0.9819277108433735,0.01163739056459495,0.12568650319008157,0.939,0.952
25,0.9721728833629366,0.9819277108433735,0.0065008123405277726,0.12279556642170064,0.939,0.952
30,0.9712762807225347,0.9819277108433735,0.004072667881181198,0.12132653841399588,0.939,0.952
35,0.9715976331360947,0.9839357429718876,0.002734838585768427,0.11969338123162743,0.939,0.952
40,0.9724770642201835,0.9819277108433735,0.001992503901211811,0.11942972964607179,0.939,0.952
45,0.9739490822972173,0.9839357429718876,0.0014621248344025973,0.12102076152950758,0.939,0.952
50,0.9733570159857903,0.9839357429718876,0.001088170866881098,0.1222682599836844,0.939,0.952
55,0.9745411486086442,0.9839357429718876,0.0008690020472775879,0.12459378371931962,0.939,0.952
60,0.9754219721646432,0.9839357429718876,0.0007100935206316145,0.1258369248425879,0.939,0.952
65,0.9754365196803788,0.9839357429718876,0.0005510356684681028,0.12783861254138174,0.939,0.952
70,0.9754365196803788,0.9839357429718876,0.0004504938607819245,0.12926048953522695,0.939,0.952
75,0.9751184834123223,0.9839357429718876,0.0004010086484153622,0.13528251816387638,0.939,0.952
80,0.9757252812314979,0.9839357429718876,0.00032118335241518385,0.13484469925970188,0.939,0.952
85,0.9757396449704141,0.9839357429718876,0.0002481931685386891,0.13586500386190892,0.939,0.952
90,0.9757396449704141,0.9819277108433735,0.00021112396248749323,0.13937098290443828,0.939,0.952
95,0.960401891252955,0.9759036144578314,0.05124051130260341,0.1564879695943091,0.939,0.952
100,0.9695176087599882,0.9799196787148594,0.0013635588543755668,0.13218163108831504,0.939,0.952
